user_id,household_size,number_of_kids,income_type,class,gross_monthly_income,net_monthly_income,assets_total,investments_total,savings_total,debts_total,rent_mortgage,utilities,insurance,transportation,groceries,clothes,phone,subscriptions,miscellaneous,fixed_costs_total,emergency_fund,house_rent_savings,guilt_free_spending,total_net_worth,financial_stress,owns_home,user_goals
53,6,2,dual_income,poor,22185,19840,192730,1537,397,11549,3327,3952,4828,5661,17943,4941,2829,2459,8864,67962,22985,27614,1163,183115,no,no,Increase term insurance
54,3,2,dual_income,middle,65499,56010,4229523,482650,24994,950774,9824,3535,5683,2077,10831,5410,2032,2496,8485,65055,49387,8089,30627,3786393,no,no,Upgrade to a bigger house
55,6,2,dual_income,middle,79506,62098,3417191,301798,90111,437103,11925,4612,4666,8500,8815,4694,942,4787,8512,65261,39178,0,49565,3371997,no,yes,Renovate home
56,5,0,single_income,upper_middle,178754,152950,8471888,546233,492007,297780,26813,3641,2471,4940,16738,6726,1537,863,12385,94954,15358,0,57914,9212348,no,yes,Invest in stock market
57,4,0,dual_income,lower_middle,43968,37641,675037,882,6923,175865,6595,3108,2213,9288,11203,4897,2744,3583,6793,52083,26584,0,18708,506977,no,yes,Build wealth for kids
58,4,1,single_income,middle,112670,93437,3506744,324126,59563,370824,16900,3674,4683,5380,8739,3545,968,1373,8750,67086,15492,0,44697,3519609,no,yes,Open a PPF account
59,4,1,dual_income,middle,78667,63576,3385777,174205,47302,604499,11800,4952,3152,6505,13413,3269,2079,1969,8505,65208,46337,0,45935,3002785,no,yes,Build passive income
60,5,1,dual_income,poor,25479,20957,31751,16453,3924,38968,3821,5514,3041,4779,12920,2755,2899,2830,8251,63258,22400,0,2086,13160,yes,yes,Build wealth for kids
61,6,1,single_income,poor,29222,25068,109041,6200,179,41302,4383,2454,3255,6384,14401,6625,2776,4374,9274,71106,25914,0,4572,74118,yes,yes,Fund children's marriage
62,4,1,dual_income,middle,76692,60792,2434352,476970,72409,547299,11503,3624,5907,5113,19154,8353,1240,1802,10769,82567,27223,26271,48710,2436432,no,no,Pay off debt
63,3,0,single_income,middle,109156,91023,4305433,187453,47829,225938,16373,3273,5326,5659,19137,5018,1631,3136,10807,82860,16221,16211,17663,4314777,no,no,Pay off debt
64,5,0,dual_income,middle,112311,93285,2668875,171695,44904,915295,16846,5530,5401,9987,10892,7288,2216,1259,9983,76537,6798,10159,18044,1970179,no,no,Plan a family vacation
65,5,2,dual_income,middle,89571,69946,2874506,292537,59148,351770,13435,4682,5215,2989,16446,6163,1115,4952,10416,79856,29831,0,41535,2874421,no,yes,Save for kids' college
66,6,0,dual_income,middle,71957,58773,2397595,182018,47105,594093,10793,3388,4415,2569,10637,9242,1565,1704,8521,65330,21928,16831,33252,2032625,no,no,Down payment for a house
67,6,0,dual_income,poor,16520,13090,98741,18830,220,69202,2478,3419,3013,4051,11985,6943,1303,3519,7420,56889,8681,0,4277,48589,yes,yes,Buy a new car
68,3,2,single_income,middle,97521,77912,4726826,333378,25629,293246,14628,2104,3997,2771,15422,6524,933,3640,9173,70330,24177,0,45328,4792587,no,yes,Build passive income
69,6,2,dual_income,middle,88333,75057,4380969,476565,60870,453017,13249,3173,5203,2432,8835,4246,2762,746,7504,57532,7429,0,20565,4465387,no,yes,Increase term insurance
70,5,2,single_income,poor,14022,12025,87527,6617,3151,96952,2103,5610,5523,9631,12573,9147,1206,3564,9388,71975,43523,22718,3438,343,yes,no,Buy a new car
71,5,2,single_income,upper_middle,164980,135351,6878166,1211323,280388,467508,24747,2332,2402,2413,16236,9569,2753,1367,11645,89280,18779,13210,45504,7902369,no,no,Pay medical bills
72,6,2,dual_income,middle,109731,90284,4023969,139236,24150,573513,16459,2230,2452,5961,14537,7641,1881,3238,9753,74773,28956,0,34423,3613842,no,yes,Build passive income
73,5,1,dual_income,middle,80528,62676,3556232,363312,65124,891257,12079,4867,5516,5367,15338,7694,2694,945,10981,84193,44132,0,30032,3093411,no,yes,Build passive income
74,6,1,single_income,middle,86424,77073,3627008,244454,24025,636442,12963,2079,3847,5309,17174,5443,1415,655,9433,72323,49548,18841,28844,3259045,no,no,Increase term insurance
75,4,0,single_income,poor,18032,14585,68560,14572,1410,19881,2704,2551,5394,3176,12332,2997,2602,3231,7146,54787,35828,25436,4372,64661,no,no,Open a PPF account
76,5,1,single_income,middle,98384,87783,3785430,444912,30748,787073,14757,5974,5189,2702,11625,8185,814,4878,10009,76741,16182,0,25514,3474017,no,yes,Buy a new car
77,5,0,single_income,upper_middle,141876,115039,8285749,1076250,190054,617200,21281,2428,5459,8117,11992,9876,703,2492,11497,88144,46266,23071,35670,8934853,no,no,Invest in stock market
78,3,1,single_income,middle,118123,91612,4208977,108720,57661,970391,17718,2208,2640,5406,17503,4299,2818,2544,9431,72305,41160,0,43362,3404967,no,yes,Build passive income
79,3,0,single_income,middle,94618,80997,3814630,295413,62863,937197,14192,2678,3968,2988,18667,3607,2002,1925,8714,66811,20867,0,22194,3235709,no,yes,Build emergency fund
80,5,2,single_income,middle,91213,79867,3711303,355230,99026,759650,13681,2959,4456,5483,15371,4241,2782,3730,9874,75707,32926,0,24219,3405909,no,yes,Repay credit card dues
81,3,1,dual_income,rich,445847,355081,23457080,6461918,2308516,431723,66877,2907,5942,8801,14606,7085,1631,2874,17865,136967,38085,0,142969,31795791,no,yes,Start an education fund
82,6,2,single_income,upper_middle,185185,162267,6887717,1184076,440281,239133,27777,3101,2325,9857,19620,7535,2486,4669,13093,100382,16826,0,38609,8272941,no,yes,Upgrade to a bigger house
83,3,0,single_income,lower_middle,58481,46239,1166627,117897,7398,187815,8772,5794,2324,7087,18185,5976,1216,651,8722,66871,5954,18794,10648,1104107,no,no,Plan a family vacation
84,6,0,dual_income,poor,18501,16034,90674,9694,3127,23147,2775,5395,2813,2845,9164,6762,2809,2267,8319,63784,38122,23256,4568,80348,no,no,Down payment for a house
85,4,0,dual_income,middle,73107,56333,3045851,177994,63481,595797,10966,2834,2226,5515,10443,2727,2104,3240,7817,59932,12435,6548,24582,2691529,no,no,Build wealth for kids
86,3,0,dual_income,upper_middle,152940,135099,5529954,1847842,480791,256164,22941,4231,3929,5945,13235,4209,1338,1593,10152,77834,8880,15686,40109,7602423,no,no,Repay credit card dues
87,3,1,dual_income,middle,99307,76062,4026182,148784,63333,634044,14896,3093,3189,4689,12095,8357,2375,2287,9473,72628,25316,0,18990,3604255,no,yes,Repay credit card dues
88,3,1,single_income,middle,62833,49919,3250469,371733,34116,900146,9424,3614,2681,9802,10735,7419,581,2563,9369,71834,22205,0,44150,2756172,no,yes,Plan a family vacation
89,4,1,single_income,lower_middle,33535,25800,1644634,87876,19830,63403,5030,4707,5863,9356,11933,5385,1422,2082,9785,75019,38332,0,19516,1688937,no,yes,Build emergency fund
90,3,2,single_income,middle,92991,82748,3677465,278735,85886,846290,13948,2181,2636,3017,10226,9206,1271,4624,10287,78869,40187,0,33312,3195796,no,yes,Build emergency fund
91,4,2,single_income,upper_middle,176030,153722,5541797,568653,268001,491770,26404,2337,4170,7824,16638,4658,780,1095,11965,91734,6986,0,78291,5886681,no,yes,Start an education fund
92,4,1,dual_income,rich,405380,343017,31559553,5141537,1680859,393445,60807,5147,4723,2501,18324,2048,1188,3960,15157,116210,10820,0,98542,37988504,no,yes,Pay medical bills
93,4,1,dual_income,upper_middle,135620,116275,6079037,1515930,109472,212036,20343,2524,2887,2207,19574,4794,648,2702,9767,74884,8749,19009,55523,7492403,no,no,Build emergency fund
94,4,0,dual_income,upper_middle,174880,150066,9668223,1858356,391829,451060,26232,4311,5129,5373,18270,3521,1772,4348,11810,90545,43553,25981,72431,11467348,no,no,Open a PPF account
95,6,0,single_income,upper_middle,169990,130284,5456104,569351,281071,334085,25498,2158,4061,6468,18464,9672,1596,4811,13169,100967,31572,25057,67275,5972441,no,no,Start an education fund
96,3,2,single_income,lower_middle,36697,28237,1855398,107561,12963,99434,5504,4584,5144,8004,10970,3152,1447,566,8256,63296,35725,0,6081,1876488,no,yes,Build emergency fund
97,3,1,dual_income,rich,464395,368228,14108949,8128420,5376691,97382,69659,4624,5280,8906,14016,8260,1127,4641,20018,153472,28350,10335,136551,27516678,no,no,Upgrade to a bigger house
98,3,1,single_income,middle,119902,106325,3054153,382146,70711,763739,17985,4063,5642,4000,9294,8904,2302,4710,11378,87237,22706,23825,49275,2743271,no,no,Travel abroad next year
99,4,1,single_income,lower_middle,40417,31923,1105398,113606,14650,78930,6062,5609,4208,7988,8175,9758,1500,4499,9826,75333,23051,23207,8787,1154724,no,no,Pay medical bills
100,3,2,dual_income,middle,94808,82420,3561014,298360,78959,595065,14221,3663,2306,5605,11799,2618,1632,2615,9846,75488,48299,12633,17642,3343268,no,no,Fund children's marriage
101,6,0,dual_income,upper_middle,121044,92648,9426111,524363,408838,494798,18156,2601,3620,6880,15503,7307,1170,600,10108,77499,27259,25655,44374,9864514,no,no,Invest in stock market
102,4,2,single_income,middle,71110,55717,3935854,442962,30195,725825,10666,3146,5300,5665,15823,7507,639,769,8484,65049,29310,13697,32138,3683186,no,no,Build wealth for kids
103,6,1,single_income,middle,73100,57801,2319849,120104,89603,826787,10965,3052,5964,9281,10509,7016,2937,4432,9084,69648,43328,0,45728,1702769,no,yes,Upgrade to a bigger house
104,5,2,single_income,lower_middle,50541,44801,1070217,123199,2149,76028,7581,4302,3555,8713,12207,5032,960,1575,8725,66893,42383,0,18161,1119537,no,yes,Upgrade to a bigger house
105,3,1,single_income,middle,115944,88699,3026281,240319,43840,658365,17391,4251,3052,8786,12569,4744,2800,4657,11694,89658,26059,0,36058,2652075,no,yes,Start an education fund
106,3,2,single_income,upper_middle,178760,155159,9093569,1550044,386453,172255,26814,4399,2977,3645,16249,3129,1853,1182,9886,75796,47968,0,46363,10857811,no,yes,Renovate home
107,4,2,dual_income,middle,100502,88325,2298818,137260,62498,922969,15075,3221,2810,4235,14841,9984,2532,1096,9694,74322,7147,5947,21269,1575607,no,no,Invest in stock market
108,6,1,single_income,middle,80081,70655,4310634,415646,57755,864093,12012,4926,3352,9282,12376,3298,1272,4467,9874,75707,9423,28254,24479,3919942,no,no,Start a small business
109,6,1,dual_income,middle,102879,79404,3761201,172361,97990,551931,15431,2228,4002,9776,16558,2527,1290,2653,9602,73621,44643,0,35648,3479621,no,yes,Renovate home
110,3,1,dual_income,middle,90988,76795,3387168,475574,87306,865329,13648,5215,5788,8694,10976,5737,2211,4469,10372,79523,39160,0,27404,3084719,no,yes,Invest in stock market
111,4,1,dual_income,upper_middle,125544,98258,5771143,906491,336361,687536,18831,5257,4117,3997,12869,3561,2175,1443,10008,76732,34799,21984,64550,6326459,no,no,Pay medical bills
112,3,0,single_income,poor,26634,23705,101656,78,3123,91009,3995,3209,3057,6898,10178,9166,1203,2870,7446,57088,24665,0,4876,13848,yes,yes,Retirement savings
113,3,0,single_income,middle,66749,56214,2570819,477796,40608,543130,10012,4769,3547,2332,19560,7249,1816,1929,8487,65067,38123,0,18675,2546093,no,yes,Travel abroad next year
114,5,1,single_income,poor,24831,18696,158469,10894,827,45406,3724,3865,3215,7791,18303,2754,1269,2713,7441,57048,6906,0,2024,124784,no,yes,Plan a family vacation
115,4,1,dual_income,middle,94228,72565,4047298,222357,48561,512712,14134,2832,3428,6378,15529,6474,697,855,8242,63195,49460,0,22766,3805504,no,yes,Start a small business
116,4,2,dual_income,rich,349805,271950,45408597,8064342,877224,345172,52470,3370,3008,7057,18967,5998,1172,530,15572,119387,29074,22784,136282,54004991,no,no,Pay off debt
117,6,0,single_income,rich,430246,357664,34088676,3682964,8363353,419204,64536,4908,3043,9422,12133,2659,2533,3475,17552,134566,14241,5453,85507,45715789,no,no,Down payment for a house
118,3,2,single_income,middle,64868,49466,3392652,197170,97707,682863,9730,3314,4379,5677,10017,9957,1728,2934,9053,69411,21251,0,48688,3004666,no,yes,Repay credit card dues
119,5,0,single_income,upper_middle,155031,125993,5174001,1876467,417455,605329,23254,5948,2550,7720,17133,8399,1227,3743,13050,100053,42863,18809,69795,6862594,no,no,Fund children's marriage
120,3,2,single_income,middle,88656,68178,4276158,472949,48840,813655,13298,3798,2515,5161,12155,9478,1027,4234,9741,74684,36501,22560,28265,3984292,no,no,Build passive income
121,5,0,single_income,middle,119789,98651,4730771,294717,93396,469670,17968,3773,4848,9910,13649,3096,1428,2054,10476,80318,48738,14186,17513,4649214,no,no,Renovate home
122,4,0,dual_income,middle,65972,51561,3770330,254841,45020,564765,9895,3030,3295,9906,18255,3447,2545,2568,10321,79128,16953,13106,34838,3505426,no,no,Buy a new car
123,6,0,dual_income,poor,15402,12681,109976,4532,4924,48037,2310,2102,2992,9734,12864,3124,1721,3490,7899,60561,15702,13428,4354,71395,yes,no,Invest in stock market
124,4,1,dual_income,middle,111833,87806,2744990,149111,62719,427600,16774,5513,2495,7143,19372,7822,2572,4449,12519,95983,32684,0,29567,2529220,no,yes,Plan a family vacation
125,6,1,dual_income,middle,97789,85109,3566772,479739,72066,573994,14668,5567,2998,4147,13085,6694,2950,1438,9709,74441,47596,0,31138,3544583,no,yes,Fund children's marriage
126,5,1,dual_income,lower_middle,56867,49896,1970851,188629,15153,102389,8530,4930,2842,4971,17719,7825,622,1061,8299,63630,25365,0,8862,2072244,no,yes,Build wealth for kids
127,5,0,single_income,lower_middle,57499,43404,1265387,128692,9126,178411,8624,2020,5977,5242,17230,7330,1059,4271,10098,77420,13563,0,13266,1224794,no,yes,Upgrade to a bigger house
128,6,1,single_income,middle,102243,86643,2649179,354797,52376,680674,15336,3681,5936,9111,16434,4800,1011,2041,11561,88638,7765,0,27388,2375678,no,yes,Upgrade to a bigger house
129,6,0,dual_income,upper_middle,122972,92634,9867920,866047,249725,727867,18445,2976,3439,5053,13463,5333,728,2393,10710,82114,6313,0,51133,10255825,no,yes,Start a small business
130,5,2,dual_income,upper_middle,155863,116926,8033361,1881688,153915,471687,23379,4004,5745,3930,15637,6841,1174,4293,12073,92561,12373,25187,40619,9597277,no,no,Start a small business
131,4,1,single_income,middle,117219,97060,2531930,179971,75556,626976,17582,4110,2686,3305,13560,9460,1237,3483,10556,80935,36933,7523,19381,2160481,no,no,Invest in stock market
132,3,1,dual_income,middle,111153,92603,3885547,122936,70182,701477,16672,5806,4414,7097,14035,3618,1763,1371,10555,80928,5834,27982,48988,3377188,no,no,Invest in stock market
133,4,1,dual_income,rich,314897,258080,10116908,4343145,6346899,327275,47234,4166,2334,3359,13193,3214,823,783,14624,112122,37980,0,114280,20479677,no,yes,Increase term insurance
134,4,0,single_income,poor,15141,13317,114292,13777,4865,47819,2271,4810,3959,8123,19484,2378,1212,724,9833,75391,5737,21619,3893,85115,yes,no,Start a small business
135,3,1,single_income,lower_middle,47643,41179,1308062,105575,17132,193250,7146,4282,4547,8432,16701,7671,2323,3441,11320,86787,20111,25616,8551,1237519,no,no,Plan a family vacation
136,4,2,single_income,upper_middle,138161,118636,6680664,1949282,481691,124502,20724,3325,3301,5722,17903,7127,1306,1825,10441,80052,41901,6242,65757,8987135,no,no,Start a small business
137,4,2,single_income,middle,96526,85909,3939309,413651,96508,969032,14478,3228,2404,3721,13316,4825,614,1915,8258,63314,49553,0,49592,3480436,no,yes,Build passive income
138,3,2,dual_income,rich,454640,357560,37127984,3734872,7516611,167462,68196,5046,2823,5431,14528,6151,617,1279,18222,139702,48810,10534,60292,48212005,no,no,Build emergency fund
139,5,2,dual_income,middle,101802,76463,4571703,388480,23641,287132,15270,2395,5078,8783,13114,6662,730,2779,10264,78691,30032,0,47959,4696692,no,yes,Pay medical bills
140,3,2,dual_income,upper_middle,176747,139371,5045712,899489,433964,225342,26512,3979,5994,3678,16414,2743,962,2236,11493,88118,18334,0,55692,6153823,no,yes,Open a PPF account
141,4,2,single_income,middle,86708,74007,3714796,167300,91545,391285,13006,3394,2098,8190,12070,8982,921,4657,9535,73102,30708,0,48435,3582356,no,yes,Renovate home
142,5,1,dual_income,lower_middle,47459,38747,1190778,111904,14317,68768,7118,5309,3405,5738,14895,3159,2031,3182,8829,67695,29829,11163,5809,1248231,no,no,Open a PPF account
143,3,2,dual_income,middle,95676,74615,3118824,352515,39787,483126,14351,4735,2395,7727,19366,2401,1474,735,8853,67873,33074,0,37606,3028000,no,yes,Plan a family vacation
144,4,1,single_income,upper_middle,156495,139467,8045471,1447069,479635,158453,23474,4743,5704,2843,17716,2603,1081,3885,9902,75921,41538,5975,52942,9813722,no,no,Invest in stock market
145,4,2,dual_income,middle,85892,69971,2563889,436033,35690,464053,12883,3658,5125,3963,13153,4289,1466,3561,9665,74100,11461,0,40703,2571559,no,yes,Invest in stock market
146,6,2,single_income,middle,119010,94042,2286629,189299,21067,440491,17851,4899,2511,5985,18284,5179,2766,2862,11695,89663,23608,0,24018,2056504,no,yes,Build wealth for kids
147,5,1,single_income,poor,27070,23346,169009,16740,3815,41831,4060,2551,3810,6418,18833,4228,582,3239,8093,62050,18231,0,1973,147733,no,yes,Build passive income
148,3,0,single_income,lower_middle,49254,39979,512336,77475,16676,125379,7388,3926,4686,2233,18844,8237,2874,1389,8072,61887,27538,8400,17823,481108,no,no,Upgrade to a bigger house
149,5,2,single_income,upper_middle,158889,131285,9562272,1771179,367553,142438,23833,3151,5773,4956,15710,8017,1882,2069,12627,96812,15086,0,74874,11558566,no,yes,Travel abroad next year
150,3,1,dual_income,lower_middle,37756,30352,654404,110160,15764,55062,5663,4276,5009,5368,11581,4762,1072,4588,9737,74655,38382,0,16877,725266,no,yes,Build emergency fund
151,5,0,single_income,upper_middle,158674,130782,6567043,600025,251152,595416,23801,3176,5808,7246,16384,4674,591,3416,11850,90852,34011,13128,69709,6822804,no,no,Repay credit card dues
152,5,1,dual_income,upper_middle,181914,160486,5865718,1085581,313596,168515,27287,4704,2597,3532,15320,2513,2026,4343,11604,88967,39467,0,53524,7096380,no,yes,Pay medical bills
153,4,0,single_income,middle,92694,79347,2022995,454464,28419,641168,13904,5855,2631,3363,12508,3755,1019,4044,10239,78503,15514,19688,48837,1864710,no,no,Pay off debt
154,5,1,dual_income,upper_middle,126256,101438,6157260,1875520,194937,665836,18938,3869,5223,6846,19582,5440,2129,2559,11548,88537,21043,7986,36554,7561881,no,no,Build passive income
